name,lon,lat,category,road,suburb,city_district,town,city,state,postcode,country,operator,ref,public_transport,station,wheelchair,network
,102.3995048,4.3847177,ferry_terminal,FT1508,,,,,Pahang,,Malaysia,,,,,,
,111.7217118,2.8145561,ferry_terminal,,,,Igan,,Sarawak,,Malaysia,,,,,,
,115.9330163,5.7346168,taxi,Jalan Chan Fook,,,Papar,,Sabah,"89608",Malaysia,,,,,,
,110.1220286,1.6621127,ferry_terminal,,,,,,Sarawak,,Malaysia,,,,,,
,110.1230577,1.6643183,ferry_terminal,,,,,,Sarawak,,Malaysia,,,,,,
KB02 Seputeh,101.68142,3.1136874,station,Jalan Sungai 2,Seputeh,,,Kuala Lumpur,Kuala Lumpur,"50614",Malaysia,KTM,KB02,station,train,yes,
,100.4780113,5.8180109,taxi,Jalan Butterworth-Alor Setar,,,Gurun,,Kedah,"08300",Malaysia,,,,,,
,100.4602765,5.8528701,bus_station,Jalan Butterworth-Alor Setar,,,Guar Chempedak,,Kedah,"08800",Malaysia,,,,,,
,100.4565977,5.8592169,bus_station,Jalan Butterworth-Alor Setar,,,Guar Chempedak,,Kedah,"08800",Malaysia,,,,,,
Terminal Bas Ekspress Johor Jaya,103.7989071,1.5426558,bus_station,Jalan Dedap 25,Taman Johor Jaya,,Plentong,,Johor,"81800",Malaysia,,,station,,,
Stesen Bas Sungai Petani,100.4908446,5.6405643,bus_station,Jalan Kuala Ketil,Kampung Baru,,,Sungai Petani,Kedah,"08000",Malaysia,,,station,,yes,
,100.6333904,4.8436448,ferry_terminal,Jalan Simpang,Kuala Sepetang,,,Taiping,Perak,,Malaysia,,,,,,
,103.6211155,1.60316,taxi,Persiaran Indahpura,Bandar Indahpura,,,Kulai,Johor,"81000",Malaysia,,,,,,
Batu Bungan,114.8190323,4.0533377,ferry_terminal,,,,,,Sarawak,"98008",Malaysia,,,,,,
Tumpat,102.1675285,6.1989356,station,Jalan Stesen,,,Tumpat,,Kelantan,"16200",Malaysia,Keretapi Tanah Melayu,,station,,yes,KTM Intercity
To' Uban,102.1439481,5.9658046,station,Jalan Kampung Sila,,,,,Kelantan,"17040",Malaysia,Keretapi Tanah Melayu,,station,,,KTM Intercity
Tanah Merah,102.1466829,5.8059634,station,Jalan Tasek,,,Tanah Merah,,Kelantan,"17500",Malaysia,Keretapi Tanah Melayu,,station,,yes,KTM Intercity
Temangan,102.1518586,5.7026386,station,D215,,,,,Kelantan,,Malaysia,Keretapi Tanah Melayu,,station,,yes,KTM Intercity
Sungai Nal,102.1795515,5.5893251,station,D222,,,,,Kelantan,,Malaysia,Keretapi Tanah Melayu,,station,,,KTM Intercity
Kuala Krai,102.2029412,5.5298891,station,Jalan Kota Bharu – Gua Musang,,,Kuala Krai,,Kelantan,,Malaysia,Keretapi Tanah Melayu,,station,,yes,KTM Intercity
Pahi,102.2226742,5.4714624,station,Jalan Kota Bharu – Gua Musang,,,,,Kelantan,,Malaysia,Keretapi Tanah Melayu,,station,,,KTM Intercity
